time,Throttle,Aileron,Elevator,Rudder,Mode,x,y,z,x_s,y_s,z_s,vx,vy,vz,speed_xy,speed_3d,chi_deg,quat_x,quat_y,quat_z,quat_w,phi_deg,theta_deg
134.0802106,0.366,-0.118,-0.022,0.0,1.0,-5.328212891,-4.653361816,3.726312256,-5.327214920067615,-4.653488929967382,3.727709666226117,-0.09922275988958094,-3.804851486782234,-2.458846712919579,3.8061450304145112,4.531298616311277,-91.49381840389738,0.038668298,0.348451549,-0.706402336,0.614883773,-30.52815604470582,28.891018478588688
134.0910372,0.366,-0.118,-0.022,0.0,1.0,-5.328008789,-4.69101416,3.703755371,-5.328025329289059,-4.691008469090924,3.7036527962610815,-0.06314600545853524,-3.773876552239334,-2.409040339444051,3.7744048073235614,4.4776787520562396,-90.95860634679784,0.048676076,0.331702907,-0.706385759,0.623396318,-27.754340261832084,28.837879933118835
134.0999701,0.366,-0.118,-0.022,0.0,1.0,-5.328433594,-4.729066406,3.679794922,-5.328537314345003,-4.729046449202813,3.6794884076759997,-0.02883759257471558,-3.796482148419066,-2.3911219177005805,3.79659167017078,4.486822075290958,-90.43520303932807,0.052232881,0.326504948,-0.704624733,0.627829782,-26.791864782300994,28.920017646406404
134.1102564,0.397,-0.19,-0.176,0.0,1.0,-5.328505859,-4.767549316,3.655726074,-5.328624706363652,-4.767560398818197,3.6555165930815945,0.002463984180205084,-3.8786418100360045,-2.408992389622417,3.878642592683349,4.565863849813761,-89.96360172394468,0.053332736,0.322939755,-0.702416787,0.63204128,-26.178393156267223,28.89108352322815
134.1200062,0.397,-0.19,-0.176,0.0,1.0,-5.328278809,-4.806621094,3.631327393,-5.328424636195819,-4.80662988728906,3.6313469124056037,0.030016188600127978,-3.9831392307509303,-2.440972147138896,3.9832523273231377,4.671685362503886,-89.56823794741152,0.055368815,0.319614164,-0.700050177,0.636168863,-25.52613843973678,28.958700643400466
134.1315799,0.397,-0.19,-0.176,0.0,1.0,-5.327923828,-4.846225098,3.607613525,-5.327750572326354,-4.846208768160854,3.607631757939403,0.05669257141755785,-4.073128840318962,-2.4636903214161805,4.07352336405378,4.760605276362638,-89.20256994972156,0.057672411,0.312616219,-0.698676712,0.640933592,-24.457623187910603,28.771727366112106
134.1408694,0.397,-0.19,-0.176,0.0,1.0,-5.327240234,-4.886310547,3.583114014,-5.327170704701647,-4.886240966354328,3.58337476267833,0.07873494516411068,-4.074000844619309,-2.4349662037311375,4.074761597142689,4.746866596699518,-88.89282827589635,0.058381138,0.308941448,-0.696553013,0.644950165,-23.873415635009582,28.674612790994708
134.1503101,0.397,-0.19,-0.176,0.0,1.0,-5.32616748,-4.926783203,3.559424316,-5.326303171060621,-4.9268207599487335,3.559300917207468,0.0999606216308393,-4.100872853320827,-2.419084101595393,4.102090964981216,4.762259776153766,-88.60366609111972,0.062221738,0.302390843,-0.69494306,0.649416951,-22.754419574103537,28.635555595686757
134.160108,0.397,-0.19,-0.176,0.0,1.0,-5.32516748,-4.968027832,3.535050293,-5.325239958578104,-4.967948810268081,3.5352384649953463,0.12353891574061682,-4.202678787320241,-2.442305940810042,4.204494125705719,4.862368678083751,-88.31625942427324,0.06126315,0.294498031,-0.693502463,0.654654182,-21.840215940494154,28.07071925331005
134.1699022,0.397,-0.19,-0.176,0.0,1.0,-5.32340332,-5.009499512,3.512461914,-5.323911799349665,-5.009617843205144,3.5112066731561864,0.15003656227233025,-4.280575855967672,-2.4442052124094804,4.283204481309743,4.931529149166771,-87.99257289140871,0.064438295,0.279824844,-0.692806999,0.661486384,-19.91093008403854,27.354025425246128
