# t V alpha gamma Q delta_T delta_e
13.93750000 34.95274676 -0.08762987 4.84178107 -0.86606192 4.83956527 0.07987486
14.00000000 35.39076087 -0.08378934 4.78685622 -0.78336887 4.79649504 0.07605667
14.06250000 35.82346677 -0.08006460 4.73708207 -0.70412754 4.75944418 0.07251159
14.12500000 36.24909391 -0.07656098 4.69227053 -0.63049033 4.72948023 0.06932601
14.18750000 36.66630280 -0.07337810 4.65209756 -0.56452083 4.70755561 0.06657754
14.25000000 37.07414084 -0.07060709 4.61610823 -0.50813239 4.69448550 0.06433315
14.31250000 37.47198366 -0.06832818 4.58372562 -0.46302985 4.69092881 0.06264751
14.37500000 37.85946385 -0.06660864 4.55426361 -0.43065632 4.69737272 0.06156169
14.43750000 38.23638862 -0.06550108 4.52694294 -0.41214696 4.71412097 0.06110216
14.50000000 38.60264836 -0.06504219 4.50091033 -0.40829111 4.74128646 0.06128011
14.56250000 38.95811843 -0.06525189 4.47525994 -0.41950375 4.77878814 0.06209120
14.62500000 39.30255688 -0.06613288 4.44905669 -0.44580666 4.82635231 0.06351567
14.68750000 39.63550166 -0.06767069 4.42136083 -0.48681960 4.88351834 0.06551882
14.75000000 39.95617164 -0.06983404 4.39125310 -0.54176123 4.94964866 0.06805183
14.81250000 40.26337652 -0.07257567 4.35785984 -0.60945968 5.02394272 0.07105300
14.87500000 40.55544143 -0.07583356 4.32037764 -0.68837244 5.10545470 0.07444920
14.93750000 40.83015292 -0.07953246 4.27809664 -0.77661582 5.19311446 0.07815769
15.00000000 41.08473325 -0.08358573 4.23042221 -0.87200382 5.28575124 -0.09244482
15.06250000 41.11479640 0.04949603 4.23173872 5.24778484 5.38211958 -0.08838824
15.12500000 40.97003965 0.12775468 4.44137651 3.42617378 5.48092683 -0.08430432
15.18750000 40.79770850 0.08575212 4.67262585 2.75557850 5.58086153 -0.08029258
15.25000000 40.82445891 0.07917290 4.85699031 2.99332766 5.68062213 -0.07645075
15.31250000 40.84277759 0.08226649 5.03802722 2.87899558 5.77894518 -0.07287244
15.37500000 40.83053280 0.07845576 5.21664969 2.72068082 5.87463247 -0.06964483
15.43750000 40.79406874 0.07506104 5.38708523 2.63548645 5.96657645 -0.06684656
15.50000000 40.71556654 0.07301892 5.55120231 2.55594656 6.05378321 -0.06454582
15.56250000 40.58253745 0.07117204 5.71032255 2.48117334 6.13539267 -0.06279864
15.62500000 40.38842629 0.06971511 5.86488474 2.42220536 6.21069539 -0.06164761
15.68750000 40.12803479 0.06884010 6.01567016 2.37758896 6.27914557 -0.06112077
15.75000000 39.79788534 0.06852721 6.16356512 2.34628140 6.34037012 -0.06123096
15.81250000 39.39639930 0.06877770 6.30940632 2.32835914 6.39417342 -0.06197549
15.87500000 38.92356078 0.06959460 6.45401218 2.32309161 6.44053773 -0.06333621
15.93750000 38.38081487 0.07095413 6.59816509 2.32924991 6.47961938 -0.06527998
16.00000000 37.77109371 0.07281381 6.74257983 2.34536571 6.51174062 -0.06775945
16.06250000 37.09887209 0.07511601 6.88788486 2.36973432 6.53737762 -0.07071418
16.12500000 36.37025058 0.07778823 7.03460848 2.40048525 6.55714472 -0.07407221
16.18750000 35.59303955 0.08074515 7.18316926 2.43568617 6.57177541 -0.07775170
16.25000000 34.77680529 0.08389155 7.33387223 2.47343921 6.58210062 -0.08166302
16.31250000 33.93284498 0.08712575 7.48691070 2.51196913 6.58902464 -0.08571086
16.37500000 33.07406408 0.09034365 7.64237308 2.54969902 6.59349956 -0.08979661
16.43750000 32.21473946 0.09344338 7.80025333 2.58530551 6.59649862 -0.09382071
16.50000000 31.37016457 0.09633060 7.96046369 2.61774782 6.59898930 -0.09768511
16.56250000 30.55618679 0.09892390 8.12284809 2.64626803 6.60190673 -0.10129568
16.62500000 29.78865936 0.10116007 8.28719470 2.67036309 6.60612816 -0.10456442
16.68750000 29.08284033 0.10299827 8.45324670 2.68973303 6.61244906 -0.10741172
16.75000000 28.45277622 0.10442240 8.62071087 2.70421331 6.62156145 -0.10976818
16.81250000 27.91071041 0.10544055 8.78926422 2.71370202 6.63403505 -0.11157641
16.87500000 27.46655504 0.10608107 8.95855962 2.71809434 6.65030167 -0.11279234
16.93750000 27.12746178 0.10638517 9.12823095 2.71723555 6.67064325 -0.11338634
17.00000000 26.89752094 0.10639714 9.29789869 2.71090167 6.69518385 0.06118898
17.06250000 26.82923535 0.02602292 9.44038125 -0.33055315 6.72388577 0.06186673
17.12500000 26.96565832 -0.06026676 9.48723269 -0.70352414 6.75654992 0.06316334
17.18750000 27.10952916 -0.08619966 9.47804306 -0.37984368 6.79282039 0.06504721
17.25000000 27.23651440 -0.08446880 9.45868938 -0.19985687 6.83219322 0.06747243
17.31250000 27.35519920 -0.08102346 9.44271007 -0.20892109 6.87402898 0.07037992
17.37500000 27.46574571 -0.08183049 9.42794512 -0.28264529 6.91756901 0.07369885
17.43750000 27.56528780 -0.08510236 9.41080758 -0.35761315 6.96195485 0.07734834
17.50000000 27.65071448 -0.08901214 9.38978879 -0.42607260 7.00625034 0.08123949
17.56250000 27.71922549 -0.09300680 9.36458428 -0.49405293 7.04946596 0.08527747
17.62500000 27.76812708 -0.09707894 9.33513287 -0.56408396 7.09058464 0.08936392
17.68750000 27.79468617 -0.10123823 9.30135802 -0.63487061 7.12858861 0.09339926
17.75000000 27.79620972 -0.10541058 9.26322156 -0.70407444 7.16248641 0.09728518
17.81250000 27.77021083 -0.10948458 9.22078996 -0.76957303 7.19133953 0.10092700
17.87500000 27.71456331 -0.11334907 9.17425174 -0.82957196 7.21428798 0.10423599
17.93750000 27.62762551 -0.11690299 9.12390984 -0.88249200 7.23057412 0.10713153
18.00000000 27.50833675 -0.12005533 9.07016875 -0.92694743 7.23956417 -0.06498986
18.06250000 27.38663071 -0.04032812 9.04186903 2.17387568 7.24076690 -0.06312108
18.12500000 27.28662060 0.04321700 9.11021527 2.46384960 7.23384896 -0.06184059
18.18750000 27.17223259 0.06438346 9.23173625 2.07607442 7.21864646 -0.06117959
18.25000000 27.12444710 0.05899423 9.35923806 1.85865556 7.19517258 -0.06115418
18.31250000 27.16516726 0.05288527 9.48019012 1.83301241 7.16362088 -0.06176498
18.37500000 27.28232186 0.05145920 9.59735252 1.87237440 7.12436433 -0.06299711
18.43750000 27.46420462 0.05284204 9.71453404 1.91697572 7.07794996 -0.06482054
18.50000000 27.70395242 0.05528191 9.83348852 1.96091288 7.02508930 -0.06719086
18.56250000 27.99634294 0.05828232 9.95486564 2.01112364 6.96664482 -0.07005031
