t, V, alpha, gamma, Q, T_cmd, elv_cmd, T_act, elv_act, gust
9.609999999999999432e+00,6.613901866043102373e+00,8.988832827039351658e-02,1.705221213410829410e-03,-5.388674650428612644e-04,1.194618388459792735e+00,-1.056991800251406814e-02,1.194618388459792735e+00,-1.056991800251406814e-02,0.000000000000000000e+00
9.620000000000000995e+00,6.613933338253099592e+00,8.988715431426003155e-02,1.701017281329316811e-03,-5.367124536000143819e-04,1.194552679890700242e+00,-1.056931323695194970e-02,1.194552679890700242e+00,-1.056931323695194970e-02,0.000000000000000000e+00
9.630000000000000782e+00,6.613964528627966466e+00,8.988599108953714001e-02,1.696824118222486476e-03,-5.345674861286592522e-04,1.194487229549947349e+00,-1.056870590660790449e-02,1.194487229549947349e+00,-1.056870590660790449e-02,0.000000000000000000e+00
9.640000000000000568e+00,6.613995439028334644e+00,8.988483852003115171e-02,1.692641699763137780e-03,-5.324325085067889776e-04,1.194422036288997235e+00,-1.056809606490350523e-02,1.194422036288997235e+00,-1.056809606490350523e-02,0.000000000000000000e+00
9.650000000000000355e+00,6.614026071304144772e+00,8.988369652905135732e-02,1.688470002555162754e-03,-5.303074659289371863e-04,1.194357098963940045e+00,-1.056748376951941945e-02,1.194357098963940045e+00,-1.056748376951941945e-02,0.000000000000000000e+00
9.660000000000000142e+00,6.614056427294643825e+00,8.988256503941009778e-02,1.684309004133545222e-03,-5.281923029061769484e-04,1.194292416435497550e+00,-1.056686908239539563e-02,1.194292416435497550e+00,-1.056686908239539563e-02,0.000000000000000000e+00
9.669999999999999929e+00,6.614086508828384225e+00,8.988144397342426317e-02,1.680158682962906236e-03,-5.260869632676930859e-04,1.194227987569026261e+00,-1.056625206972265467e-02,1.194227987569026261e+00,-1.056625206972265467e-02,0.000000000000000000e+00
9.679999999999999716e+00,6.614116317722706917e+00,8.988033326286720692e-02,1.676019009130643670e-03,-5.239914001763443371e-04,1.194163811238643458e+00,-1.056563275331301281e-02,1.194163811238643458e+00,-1.056563275331301281e-02,0.000000000000000000e+00
9.689999999999999503e+00,6.614145855780108718e+00,8.987923284889201558e-02,1.671889944522919266e-03,-5.219055758412667308e-04,1.194099886328384708e+00,-1.056501111160360225e-02,1.194099886328384708e+00,-1.056501111160360225e-02,0.000000000000000000e+00
9.700000000000001066e+00,6.614175124791594307e+00,8.987814266784334427e-02,1.667771456010666477e-03,-5.198294473652917023e-04,1.194036211725481689e+00,-1.056438714853663412e-02,1.194036211725481689e+00,-1.056438714853663412e-02,0.000000000000000000e+00
9.710000000000000853e+00,6.614204126538415274e+00,8.987706265567649289e-02,1.663663511257905056e-03,-5.177629712983850994e-04,1.193972786321562563e+00,-1.056376087162352526e-02,1.193972786321562563e+00,-1.056376087162352526e-02,0.000000000000000000e+00
9.720000000000000639e+00,6.614232862792069234e+00,8.987599274795746163e-02,1.659566078721735633e-03,-5.157061036376449055e-04,1.193909609012653528e+00,-1.056313229194489299e-02,1.193909609012653528e+00,-1.056313229194489299e-02,0.000000000000000000e+00
9.730000000000000426e+00,6.614261335314298940e+00,8.987493287986292323e-02,1.655479127652342754e-03,-5.136587998273027577e-04,1.193846678699178820e+00,-1.056250142415056208e-02,1.193846678699178820e+00,-1.056250142415056208e-02,0.000000000000000000e+00
9.740000000000000213e+00,6.614289545857091390e+00,8.987388298618018134e-02,1.651402628092994663e-03,-5.116210147587236211e-04,1.193783994285964045e+00,-1.056186828645955082e-02,1.193783994285964045e+00,-1.056186828645955082e-02,0.000000000000000000e+00
9.750000000000000000e+00,6.614317496162680499e+00,8.987284300130729542e-02,1.647336550880043084e-03,-5.095927027704060062e-04,1.193721554682230401e+00,-1.056123290066008497e-02,1.193721554682230401e+00,-1.056123290066008497e-02,0.000000000000000000e+00
9.759999999999999787e+00,6.614345187963546202e+00,8.987181285925294194e-02,1.643280867642923221e-03,-5.075738176479814264e-04,1.193659358801597126e+00,-1.056059529210959420e-02,1.193659358801597126e+00,-1.056059529210959420e-02,0.000000000000000000e+00
9.769999999999999574e+00,6.614372622982412686e+00,8.987079249363648381e-02,1.639235550804153327e-03,-5.055643126242149402e-04,1.193597405562083047e+00,-1.055995548973470179e-02,1.193597405562083047e+00,-1.055995548973470179e-02,0.000000000000000000e+00
9.779999999999999361e+00,6.614399802932249273e+00,8.986978183768797035e-02,1.635200573579335351e-03,-5.035641403790048262e-04,1.193535693886107252e+00,-1.055931352603124186e-02,1.193535693886107252e+00,-1.055931352603124186e-02,0.000000000000000000e+00
9.790000000000000924e+00,6.614426729516273973e+00,8.986878082424813730e-02,1.631175909977153858e-03,-5.015732530393824740e-04,1.193474222700480647e+00,-1.055866943706424733e-02,1.193474222700480647e+00,-1.055866943706424733e-02,0.000000000000000000e+00
9.800000000000000711e+00,6.614453404427945493e+00,8.986778938576836517e-02,1.627161534799379059e-03,-4.995916021795134693e-04,1.193412990936422169e+00,-1.055802326246795160e-02,1.193412990936422169e+00,-1.055802326246795160e-02,0.000000000000000000e+00
9.810000000000000497e+00,6.614479829350972118e+00,8.986680745431074868e-02,1.623157423640862480e-03,-4.976191388206958584e-04,1.193351997529540576e+00,-1.055737504544579201e-02,1.193351997529540576e+00,-1.055737504544579201e-02,0.000000000000000000e+00
9.820000000000000284e+00,6.614506005959306378e+00,8.986583496154802730e-02,1.619163552889539776e-03,-4.956558134313612330e-04,1.193291241419846216e+00,-1.055672483277040989e-02,1.193291241419846216e+00,-1.055672483277040989e-02,0.000000000000000000e+00
9.830000000000000071e+00,6.614531935917145944e+00,8.986487183876364082e-02,1.615179899726429651e-03,-4.937015759270744044e-04,1.193230721551748585e+00,-1.055607267478364183e-02,1.193230721551748585e+00,-1.055607267478364183e-02,0.000000000000000000e+00
9.839999999999999858e+00,6.614557620878934507e+00,8.986391801685167380e-02,1.611206442125634724e-03,-4.917563756705338376e-04,1.193170436874054330e+00,-1.055541862539653188e-02,1.193170436874054330e+00,-1.055541862539653188e-02,0.000000000000000000e+00
9.849999999999999645e+00,6.614583062489360898e+00,8.986297342631692497e-02,1.607243158854340876e-03,-4.898201614715710006e-04,1.193110386339969020e+00,-1.055476274208932801e-02,1.193110386339969020e+00,-1.055476274208932801e-02,0.000000000000000000e+00
9.859999999999999432e+00,6.614608262383414150e+00,8.986203800211339798e-02,1.603290024937553378e-03,-4.878928864688821020e-04,1.193050568908967435e+00,-1.055410506221591931e-02,1.193050568908967435e+00,-1.055410506221591931e-02,0.000000000000000000e+00
9.870000000000000995e+00,6.614633222183424976e+00,8.986111169251442821e-02,1.599347003439432861e-03,-4.859745169249235670e-04,1.192990983551268203e+00,-1.055344556009532760e-02,1.192990983551268203e+00,-1.055344556009532760e-02,0.000000000000000000e+00
